1,x,e,x
2,x,e,a
3,x,e,b
4,x,e,c
5,x,e,d
6,x,e,e
7,x,e,f
8,x,e,g
9,x,e,h
10,x,e,i
11,x,"e,a",x
12,x,"e,b",x
13,x,"e,c",x
14,x,"e,d",x
15,"a,b",e,x
16,"a,c",e,x
17,"a,d",e,x
18,"a,e",e,x
19,"a,f",e,x
20,"a,g",e,x
21,"a,h",e,x
22,"a,i",e,x
23,a,"a,e",x
24,a,"b,e",x
25,a,"c,e",x
26,a,"d,e",x
27,a,"e,f",x
28,a,"e,g",x
29,a,"e,h",x
30,a,"e,i",x
31,a,e,a
32,a,e,b
33,a,e,c
34,a,e,d
35,a,e,e
36,a,e,f
37,a,e,g
38,a,e,h
39,a,e,i
40,"b,c",e,x
41,"b,d",e,x
42,"b,e",e,x
43,"b,f",e,x
44,"b,g",e,x
45,"b,h",e,x
46,"b,i",e,x
47,b,"a,e",x
48,b,"b,e",x
49,b,"c,e",x
50,b,"d,e",x
51,b,"e,g",x
52,b,"e,h",x
53,b,"e,i",x
54,b,e,a
55,b,e,b
56,b,e,c
57,b,e,d
58,b,e,e
59,b,e,f
60,b,e,g
61,b,e,h
62,b,e,i
63,"c,d",e,x
64,"c,e",e,x
65,"c,f",e,x
66,"c,g",e,x
67,"c,h",e,x
68,"c,i",e,x
69,c,"a,e",x
70,c,"b,e",x
71,c,"c,e",x
72,c,"d,e",x
73,c,"e,g",x
74,c,"e,h",x
75,c,"e,i",x
76,c,e,a
77,c,e,b
78,c,e,c
79,c,e,d
80,c,e,e
81,c,e,f
82,c,e,g
83,c,e,h
84,c,e,i
85,"d,e",e,x
86,"d,f",e,x
87,"d,g",e,x
88,"d,h",e,x
89,"d,i",e,x
90,d,"a,e",x
91,d,"b,e",x
92,d,"c,e",x
93,d,"d,e",x
94,d,"e,f",x
95,d,"e,i",x
96,d,e,a
97,d,e,b
98,d,e,c
99,d,e,d
100,d,e,e
101,d,e,f
102,d,e,g
103,d,e,h
104,d,e,i
105,"e,f",e,x
106,"e,g",e,x
107,"e,h",e,x
108,"e,i",e,x
109,e,"a,e",x
110,e,"b,e",x
111,e,"c,e",x
112,e,"d,e",x
113,e,e,a
114,e,e,b
115,e,e,c
116,e,e,d
117,e,e,e
118,e,e,f
119,e,e,g
120,e,e,h
121,e,e,i
122,"f,g",e,x
123,"f,h",e,x
124,"f,i",e,x
125,f,"a,e",x
126,f,"b,e",x
127,f,"c,e",x
128,f,"d,e",x
129,f,"e,g",x
130,f,e,a
131,f,e,b
132,f,e,c
133,f,e,d
134,f,e,e
135,f,e,f
136,f,e,g
137,f,e,h
138,f,e,i
139,"g,h",e,x
140,"g,i",e,x
141,g,"a,e",x
142,g,"b,e",x
143,g,"c,e",x
144,g,"d,e",x
145,g,"e,f",x
146,g,"e,i",x
147,g,e,a
148,g,e,b
149,g,e,c
150,g,e,d
151,g,e,e
152,g,e,f
153,g,e,g
154,g,e,h
155,g,e,i
156,"h,i",e,x
157,h,"a,e",x
158,h,"b,e",x
159,h,"c,e",x
160,h,"d,e",x
161,h,e,a
162,h,e,b
163,h,e,c
164,h,e,d
165,h,e,e
166,h,e,f
167,h,e,g
168,h,e,h
169,h,e,i
170,i,"a,e",x
171,i,"b,e",x
172,i,"c,e",x
173,i,"d,e",x
174,i,"e,g",x
175,i,e,a
176,i,e,b
177,i,e,c
178,i,e,d
179,i,e,e
180,i,e,f
181,i,e,g
182,i,e,h
183,i,e,i
184,x,"a,b,e",x
185,x,"a,c,e",x
186,x,"a,d,e",x
187,x,"a,e,f",x
188,x,"a,e,g",x
189,x,"a,e,h",x
190,x,"a,e,i",x
191,x,"a,e",c
192,x,"a,e",f
193,x,"a,e",g
194,x,"a,e",h
195,x,"a,e",i
196,x,"b,c,e",x
197,x,"b,d,e",x
198,x,"b,e,g",x
199,x,"b,e,h",x
200,x,"b,e,i",x
201,x,"b,e",g
202,x,"b,e",h
203,x,"b,e",i
204,x,"c,d,e",x
205,x,"c,e,g",x
206,x,"c,e,h",x
207,x,"c,e,i",x
208,x,"c,e",a
209,x,"c,e",d
210,x,"c,e",g
211,x,"c,e",h
212,x,"c,e",i
213,x,"d,e,f",x
214,x,"d,e,i",x
215,x,"d,e",c
216,x,"d,e",f
217,x,"d,e",i
218,x,"e,f,g",x
219,x,"e,f",a
220,x,"e,f",d
221,x,"e,f",g
222,x,"e,g,i",x
223,x,"e,g",a
224,x,"e,g",b
225,x,"e,g",c
226,x,"e,g",f
227,x,"e,g",i
228,x,"e,h",a
229,x,"e,h",b
230,x,"e,h",c
231,x,"e,i",a
232,x,"e,i",b
233,x,"e,i",c
234,x,"e,i",d
235,x,"e,i",g
236,x,e,"a,c"
237,x,e,"a,f"
238,x,e,"a,g"
239,x,e,"a,h"
240,x,e,"a,i"
241,x,e,"b,g"
242,x,e,"b,h"
243,x,e,"b,i"
244,x,e,"c,d"
245,x,e,"c,g"
246,x,e,"c,h"
247,x,e,"c,i"
248,x,e,"d,f"
249,x,e,"d,i"
250,x,e,"f,g"
251,x,e,"g,i"
